id,surface,path,snippet,legacy_roles,class,target_mapping,risk,status
TEST-0016,test,backend/tests/test_uos_vacancy_follow_up_assignee.py:77,"return await _seed_recruiter(db, tenant_id=tenant_id, role=UserRole.administrator)",administrator,TEST,update fixtures/asserts after mapping,L,open
TEST-0017,test,backend/tests/test_vacancy_primary_recruiter_resolver.py:51,"role: UserRole = UserRole.recruiter,",recruiter,TEST,update fixtures/asserts after mapping,L,open
TEST-0018,test,backend/tests/test_vacancy_primary_recruiter_resolver.py:211,"db, tenant_id=tenant_id, role=UserRole.administrator",administrator,TEST,update fixtures/asserts after mapping,L,open
TEST-0019,test,backend/tests/test_lead_distribution_ingest.py:17,assert r == {Role.recruiter},recruiter,TEST,update fixtures/asserts after mapping,L,open
TEST-0020,test,backend/tests/test_lead_distribution_ingest.py:19,"assert r2 == {Role.supervisor, Role.administrator}",supervisor,TEST,update fixtures/asserts after mapping,L,open
TEST-0021,test,backend/tests/test_lead_distribution_ingest.py:19,"assert r2 == {Role.supervisor, Role.administrator}",administrator,TEST,update fixtures/asserts after mapping,L,open
TEST-0022,test,backend/tests/test_lead_distribution_ingest.py:26,"{""user_id"": ""a"", ""role"": Role.recruiter.value},",recruiter,TEST,update fixtures/asserts after mapping,L,open
TEST-0023,test,backend/tests/test_lead_distribution_ingest.py:27,"{""user_id"": ""b"", ""role"": Role.supervisor.value},",supervisor,TEST,update fixtures/asserts after mapping,L,open
TEST-0024,test,backend/tests/test_lead_distribution_ingest.py:29,"out = filter_team_by_pipeline_owner_roles(team, {Role.administrator})",administrator,TEST,update fixtures/asserts after mapping,L,open
TEST-0025,test,backend/tests/test_lead_distribution_ingest.py:31,"out2 = filter_team_by_pipeline_owner_roles(team, {Role.recruiter})",recruiter,TEST,update fixtures/asserts after mapping,L,open
BE-0026,be,backend/scripts/a6_operating_slots_e2e_smoke.py:101,"role=UserRole.administrator,",administrator,TRUST,keep canonical trust role,M,open
BE-0027,be,backend/app/services/handoff.py:401,"User.role == UserRole.hr_officer,",hr_officer,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0028,be,backend/app/services/handoff.py:701,"User.role == UserRole.hr_officer,",hr_officer,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0029,be,backend/app/services/users.py:42,"Role.superadmin.value,",superadmin,TRUST,keep canonical trust role,M,open
BE-0030,be,backend/app/services/users.py:43,"Role.administrator.value,",administrator,TRUST,keep canonical trust role,M,open
BE-0031,be,backend/app/services/users.py:44,"Role.supervisor.value,",supervisor,JOB_PROXY,employee + permission/module gate + preset,M,open
BE-0032,be,backend/app/services/users.py:48,"""owner"": Role.administrator.value,",administrator,TRUST,keep canonical trust role,M,open
BE-0033,be,backend/app/services/users.py:49,"""admin"": Role.administrator.value,",administrator,TRUST,keep canonical trust role,M,open
BE-0034,be,backend/app/services/users.py:50,"""administrator"": Role.administrator.value,",administrator,TRUST,keep canonical trust role,M,open
BE-0035,be,backend/app/services/users.py:51,"""manager"": Role.supervisor.value,",supervisor,JOB_PROXY,employee + permission/module gate + preset,M,open
BE-0036,be,backend/app/services/users.py:52,"""supervisor"": Role.supervisor.value,",supervisor,JOB_PROXY,employee + permission/module gate + preset,M,open
BE-0037,be,backend/app/services/users.py:53,"""recruiter"": Role.recruiter.value,",recruiter,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0038,be,backend/app/services/users.py:54,"""hr"": Role.recruiter.value,",recruiter,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0039,be,backend/app/services/users.py:55,"""viewer"": Role.viewer.value,",viewer,TRUST,keep canonical trust role,M,open
BE-0040,be,backend/app/services/users.py:56,"""user"": Role.viewer.value,",viewer,TRUST,keep canonical trust role,M,open
BE-0041,be,backend/app/services/users.py:57,"""client"": Role.client_manager.value,",client_manager,PORTAL_LEGACY,viewer + access_context=portal + scope,H,open
BE-0042,be,backend/app/services/users.py:58,"""client_manager"": Role.client_manager.value,",client_manager,PORTAL_LEGACY,viewer + access_context=portal + scope,H,open
BE-0043,be,backend/app/services/users.py:59,"""client_processor"": Role.client_processor.value,",client_processor,PORTAL_LEGACY,viewer + access_context=portal + scope,H,open
BE-0044,be,backend/app/services/users.py:60,"""processor"": Role.client_processor.value,",client_processor,PORTAL_LEGACY,viewer + access_context=portal + scope,H,open
BE-0045,be,backend/app/services/users.py:61,"""compliance_officer"": Role.compliance_officer.value,",compliance_officer,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0046,be,backend/app/services/users.py:62,"""compliance"": Role.compliance_officer.value,",compliance_officer,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0047,be,backend/app/services/users.py:63,"""docs_officer"": Role.compliance_officer.value,",compliance_officer,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0048,be,backend/app/services/users.py:64,"""hr_officer"": Role.hr_officer.value,",hr_officer,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0049,be,backend/app/services/users.py:65,"""people_ops"": Role.hr_officer.value,",hr_officer,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0050,be,backend/app/services/users.py:66,"""superadmin"": Role.superadmin.value,",superadmin,TRUST,keep canonical trust role,M,open
BE-0051,be,backend/app/services/users.py:117,"Role.recruiter.value: ""max_recruiters"",",recruiter,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0052,be,backend/app/services/users.py:118,"Role.compliance_officer.value: ""max_recruiters"",",compliance_officer,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0053,be,backend/app/services/users.py:119,"Role.hr_officer.value: ""max_recruiters"",",hr_officer,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0054,be,backend/app/services/users.py:120,"Role.supervisor.value: ""max_supervisors"",",supervisor,JOB_PROXY,employee + permission/module gate + preset,M,open
BE-0055,be,backend/app/services/users.py:121,"Role.client_manager.value: ""max_client_managers"",",client_manager,PORTAL_LEGACY,viewer + access_context=portal + scope,H,open
BE-0056,be,backend/app/services/users.py:122,"Role.client_processor.value: ""max_client_managers"",",client_processor,PORTAL_LEGACY,viewer + access_context=portal + scope,H,open
BE-0057,be,backend/app/services/users.py:123,"Role.viewer.value: ""max_viewers"",",viewer,TRUST,keep canonical trust role,M,open
BE-0058,be,backend/app/services/users.py:304,"Role.viewer.value: Role.viewer,",viewer,TRUST,keep canonical trust role,M,open
BE-0059,be,backend/app/services/users.py:304,"Role.viewer.value: Role.viewer,",viewer,TRUST,keep canonical trust role,M,open
BE-0060,be,backend/app/services/users.py:305,"Role.recruiter.value: Role.recruiter,",recruiter,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0061,be,backend/app/services/users.py:305,"Role.recruiter.value: Role.recruiter,",recruiter,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0062,be,backend/app/services/users.py:306,"Role.supervisor.value: Role.supervisor,",supervisor,JOB_PROXY,employee + permission/module gate + preset,M,open
BE-0063,be,backend/app/services/users.py:306,"Role.supervisor.value: Role.supervisor,",supervisor,JOB_PROXY,employee + permission/module gate + preset,M,open
BE-0064,be,backend/app/services/users.py:307,"Role.administrator.value: Role.administrator,",administrator,TRUST,keep canonical trust role,M,open
BE-0065,be,backend/app/services/users.py:307,"Role.administrator.value: Role.administrator,",administrator,TRUST,keep canonical trust role,M,open
BE-0066,be,backend/app/services/users.py:308,"Role.client_manager.value: Role.client_manager,",client_manager,PORTAL_LEGACY,viewer + access_context=portal + scope,H,open
BE-0067,be,backend/app/services/users.py:308,"Role.client_manager.value: Role.client_manager,",client_manager,PORTAL_LEGACY,viewer + access_context=portal + scope,H,open
BE-0068,be,backend/app/services/users.py:309,"Role.client_processor.value: Role.client_processor,",client_processor,PORTAL_LEGACY,viewer + access_context=portal + scope,H,open
BE-0069,be,backend/app/services/users.py:309,"Role.client_processor.value: Role.client_processor,",client_processor,PORTAL_LEGACY,viewer + access_context=portal + scope,H,open
BE-0070,be,backend/app/services/users.py:310,"Role.compliance_officer.value: Role.compliance_officer,",compliance_officer,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0071,be,backend/app/services/users.py:310,"Role.compliance_officer.value: Role.compliance_officer,",compliance_officer,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0072,be,backend/app/services/users.py:311,"Role.hr_officer.value: Role.hr_officer,",hr_officer,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0073,be,backend/app/services/users.py:311,"Role.hr_officer.value: Role.hr_officer,",hr_officer,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0074,be,backend/app/services/users.py:312,"Role.superadmin.value: Role.superadmin,",superadmin,TRUST,keep canonical trust role,M,open
BE-0075,be,backend/app/services/users.py:312,"Role.superadmin.value: Role.superadmin,",superadmin,TRUST,keep canonical trust role,M,open
BE-0076,be,backend/app/services/users.py:314,"user.role = mapping.get(tenant_role, Role.viewer)",viewer,TRUST,keep canonical trust role,M,open
BE-0077,be,backend/app/services/users.py:676,if normalized_role == Role.recruiter.value:,recruiter,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0078,be,backend/app/services/users.py:842,if normalized_role == Role.recruiter.value:,recruiter,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0079,be,backend/app/services/users.py:1574,if user.role == Role.supervisor:,supervisor,JOB_PROXY,employee + permission/module gate + preset,M,open
BE-0080,be,backend/app/services/users.py:1669,elif invite.role == Role.recruiter.value:,recruiter,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0081,be,backend/app/services/users.py:1743,"Role.supervisor.value,",supervisor,JOB_PROXY,employee + permission/module gate + preset,M,open
BE-0082,be,backend/app/services/users.py:1744,"Role.administrator.value,",administrator,TRUST,keep canonical trust role,M,open
BE-0083,be,backend/app/services/users.py:1745,"Role.recruiter.value,",recruiter,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0084,be,backend/app/services/users.py:2008,"return role in (Role.administrator, Role.superadmin)",administrator,TRUST,keep canonical trust role,M,open
BE-0085,be,backend/app/services/users.py:2008,"return role in (Role.administrator, Role.superadmin)",superadmin,TRUST,keep canonical trust role,M,open
BE-0086,be,backend/app/services/document_dossier_access.py:63,"if r in (Role.administrator.value, Role.supervisor.value):",administrator,TRUST,keep canonical trust role,M,open
BE-0087,be,backend/app/services/document_dossier_access.py:63,"if r in (Role.administrator.value, Role.supervisor.value):",supervisor,JOB_PROXY,employee + permission/module gate + preset,M,open
BE-0088,be,backend/app/services/document_dossier_access.py:65,if r == Role.hr_officer.value:,hr_officer,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0089,be,backend/app/services/document_dossier_access.py:67,"if r in (Role.recruiter.value, Role.compliance_officer.value):",recruiter,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0090,be,backend/app/services/document_dossier_access.py:67,"if r in (Role.recruiter.value, Role.compliance_officer.value):",compliance_officer,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0091,be,backend/app/services/document_dossier_access.py:69,"if r in (Role.client_manager.value, Role.client_processor.value):",client_manager,PORTAL_LEGACY,viewer + access_context=portal + scope,H,open
BE-0092,be,backend/app/services/document_dossier_access.py:69,"if r in (Role.client_manager.value, Role.client_processor.value):",client_processor,PORTAL_LEGACY,viewer + access_context=portal + scope,H,open
BE-0093,be,backend/app/services/document_dossier_access.py:78,if r == Role.hr_officer.value:,hr_officer,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0094,be,backend/app/services/global_search_v1.py:258,is_platform_superadmin = user_role_lower == Role.superadmin.value and not client_tenant,superadmin,TRUST,keep canonical trust role,M,open
BE-0095,be,backend/app/services/global_search_v1.py:365,"return r not in (Role.client_manager.value, Role.client_processor.value)",client_manager,PORTAL_LEGACY,viewer + access_context=portal + scope,H,open
BE-0096,be,backend/app/services/global_search_v1.py:365,"return r not in (Role.client_manager.value, Role.client_processor.value)",client_processor,PORTAL_LEGACY,viewer + access_context=portal + scope,H,open
BE-0097,be,backend/app/services/handoff_snapshot_acl.py:23,if role == Role.superadmin.value:,superadmin,TRUST,keep canonical trust role,M,open
BE-0098,be,backend/app/services/handoff_snapshot_acl.py:29,"client_roles = {Role.client_processor.value, Role.client_manager.value}",client_processor,PORTAL_LEGACY,viewer + access_context=portal + scope,H,open
BE-0099,be,backend/app/services/handoff_snapshot_acl.py:29,"client_roles = {Role.client_processor.value, Role.client_manager.value}",client_manager,PORTAL_LEGACY,viewer + access_context=portal + scope,H,open
BE-0100,be,backend/app/services/handoff_snapshot_acl.py:31,"Role.administrator.value,",administrator,TRUST,keep canonical trust role,M,open
BE-0101,be,backend/app/services/handoff_snapshot_acl.py:32,"Role.supervisor.value,",supervisor,JOB_PROXY,employee + permission/module gate + preset,M,open
BE-0102,be,backend/app/services/handoff_snapshot_acl.py:33,"Role.recruiter.value,",recruiter,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0103,be,backend/app/services/handoff_snapshot_acl.py:34,"Role.compliance_officer.value,",compliance_officer,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0104,be,backend/app/services/handoff_snapshot_acl.py:40,if role == Role.hr_officer.value:,hr_officer,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0105,be,backend/app/services/communications_scheduler.py:519,"User.role.in_([Role.superadmin.value, Role.administrator.value, Role.supervisor.value]),",superadmin,TRUST,keep canonical trust role,M,open
BE-0106,be,backend/app/services/communications_scheduler.py:519,"User.role.in_([Role.superadmin.value, Role.administrator.value, Role.supervisor.value]),",administrator,TRUST,keep canonical trust role,M,open
BE-0107,be,backend/app/services/communications_scheduler.py:519,"User.role.in_([Role.superadmin.value, Role.administrator.value, Role.supervisor.value]),",supervisor,JOB_PROXY,employee + permission/module gate + preset,M,open
BE-0108,be,backend/app/services/lead_distribution.py:53,out.add(Role.recruiter),recruiter,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0109,be,backend/app/services/lead_distribution.py:55,out.add(Role.supervisor),supervisor,JOB_PROXY,employee + permission/module gate + preset,M,open
BE-0110,be,backend/app/services/lead_distribution.py:57,out.add(Role.administrator),administrator,TRUST,keep canonical trust role,M,open
BE-0111,be,backend/app/services/lead_distribution.py:207,"User.role == Role.administrator,",administrator,TRUST,keep canonical trust role,M,open
BE-0112,be,backend/app/services/lead_distribution.py:208,"User.role == Role.supervisor,",supervisor,JOB_PROXY,employee + permission/module gate + preset,M,open
BE-0113,be,backend/app/services/lead_distribution.py:209,"User.role == Role.recruiter,",recruiter,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0114,be,backend/app/services/recruitment_setup_readiness.py:522,"User.role == Role.administrator,",administrator,TRUST,keep canonical trust role,M,open
BE-0115,be,backend/app/services/recruitment_lead_assignee.py:81,"User.role == UserRole.recruiter,",recruiter,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0116,be,backend/app/services/hr_operational_alerts.py:138,"hr_ids = await _user_ids_for_roles(db, tenant_id=tid, roles=(UserRole.hr_officer,))",hr_officer,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0117,be,backend/app/services/hr_operational_alerts.py:139,"sup_ids = await _user_ids_for_roles(db, tenant_id=tid, roles=(UserRole.supervisor,))",supervisor,JOB_PROXY,employee + permission/module gate + preset,M,open
BE-0118,be,backend/app/services/communications_access.py:112,if role == Role.superadmin.value:,superadmin,TRUST,keep canonical trust role,M,open
BE-0119,be,backend/app/services/stage_meta_recruitment_filter.py:152,"if role in (UserRole.administrator.value, UserRole.superadmin.value):",administrator,TRUST,keep canonical trust role,M,open
BE-0120,be,backend/app/services/stage_meta_recruitment_filter.py:152,"if role in (UserRole.administrator.value, UserRole.superadmin.value):",superadmin,TRUST,keep canonical trust role,M,open
BE-0121,be,backend/app/services/stage_meta_recruitment_filter.py:162,if role == UserRole.hr_officer.value:,hr_officer,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0122,be,backend/app/services/stage_meta_recruitment_filter.py:170,"if role in (UserRole.client_processor.value, UserRole.client_manager.value):",client_processor,PORTAL_LEGACY,viewer + access_context=portal + scope,H,open
BE-0123,be,backend/app/services/stage_meta_recruitment_filter.py:170,"if role in (UserRole.client_processor.value, UserRole.client_manager.value):",client_manager,PORTAL_LEGACY,viewer + access_context=portal + scope,H,open
BE-0124,be,backend/app/services/stage_meta_recruitment_filter.py:207,"if role in (UserRole.administrator.value, UserRole.superadmin.value):",administrator,TRUST,keep canonical trust role,M,open
BE-0125,be,backend/app/services/stage_meta_recruitment_filter.py:207,"if role in (UserRole.administrator.value, UserRole.superadmin.value):",superadmin,TRUST,keep canonical trust role,M,open
BE-0126,be,backend/app/services/stage_meta_recruitment_filter.py:218,if role == UserRole.hr_officer.value:,hr_officer,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0127,be,backend/app/services/stage_meta_recruitment_filter.py:227,"if role in (UserRole.client_processor.value, UserRole.client_manager.value):",client_processor,PORTAL_LEGACY,viewer + access_context=portal + scope,H,open
BE-0128,be,backend/app/services/stage_meta_recruitment_filter.py:227,"if role in (UserRole.client_processor.value, UserRole.client_manager.value):",client_manager,PORTAL_LEGACY,viewer + access_context=portal + scope,H,open
BE-0129,be,backend/app/services/recruiter_assignment.py:198,"recruiter_alias.role == UserRole.recruiter,",recruiter,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0130,be,backend/app/services/recruiter_assignment.py:248,"user_alias.role.in_([UserRole.supervisor, UserRole.administrator]),",supervisor,JOB_PROXY,employee + permission/module gate + preset,M,open
BE-0131,be,backend/app/services/recruiter_assignment.py:248,"user_alias.role.in_([UserRole.supervisor, UserRole.administrator]),",administrator,TRUST,keep canonical trust role,M,open
BE-0132,be,backend/app/services/recruiter_assignment.py:271,"User.role == UserRole.administrator,",administrator,TRUST,keep canonical trust role,M,open
BE-0133,be,backend/app/services/candidate_deletion.py:53,if requester.role != Role.recruiter:,recruiter,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0134,be,backend/app/services/candidate_deletion.py:217,"if actor.role not in (Role.administrator, Role.supervisor):",administrator,TRUST,keep canonical trust role,M,open
BE-0135,be,backend/app/services/candidate_deletion.py:217,"if actor.role not in (Role.administrator, Role.supervisor):",supervisor,JOB_PROXY,employee + permission/module gate + preset,M,open
BE-0136,be,backend/app/services/candidate_deletion.py:220,if actor.role == Role.supervisor and actor.id != request.supervisor_id:,supervisor,JOB_PROXY,employee + permission/module gate + preset,M,open
BE-0137,be,backend/app/auth/trust_roles.py:25,"""superadmin"": TrustRole.superadmin.value,",superadmin,TRUST,keep canonical trust role,M,open
BE-0138,be,backend/app/auth/trust_roles.py:26,"""super_admin"": TrustRole.superadmin.value,",superadmin,TRUST,keep canonical trust role,M,open
BE-0139,be,backend/app/auth/trust_roles.py:27,"""administrator"": TrustRole.administrator.value,",administrator,TRUST,keep canonical trust role,M,open
BE-0140,be,backend/app/auth/trust_roles.py:28,"""admin"": TrustRole.administrator.value,",administrator,TRUST,keep canonical trust role,M,open
BE-0141,be,backend/app/auth/trust_roles.py:29,"""owner"": TrustRole.administrator.value,",administrator,TRUST,keep canonical trust role,M,open
BE-0142,be,backend/app/auth/trust_roles.py:30,"""employee"": TrustRole.employee.value,",employee,TRUST,keep canonical trust role,M,open
BE-0143,be,backend/app/auth/trust_roles.py:31,"""recruiter"": TrustRole.employee.value,",employee,TRUST,keep canonical trust role,M,open
BE-0144,be,backend/app/auth/trust_roles.py:32,"""supervisor"": TrustRole.employee.value,",employee,TRUST,keep canonical trust role,M,open
BE-0145,be,backend/app/auth/trust_roles.py:33,"""manager"": TrustRole.employee.value,",employee,TRUST,keep canonical trust role,M,open
BE-0146,be,backend/app/auth/trust_roles.py:34,"""lead"": TrustRole.employee.value,",employee,TRUST,keep canonical trust role,M,open
BE-0147,be,backend/app/auth/trust_roles.py:35,"""hr"": TrustRole.employee.value,",employee,TRUST,keep canonical trust role,M,open
BE-0148,be,backend/app/auth/trust_roles.py:36,"""hr_officer"": TrustRole.employee.value,",employee,TRUST,keep canonical trust role,M,open
BE-0149,be,backend/app/auth/trust_roles.py:37,"""people_ops"": TrustRole.employee.value,",employee,TRUST,keep canonical trust role,M,open
BE-0150,be,backend/app/auth/trust_roles.py:38,"""compliance_officer"": TrustRole.employee.value,",employee,TRUST,keep canonical trust role,M,open
BE-0151,be,backend/app/auth/trust_roles.py:39,"""compliance"": TrustRole.employee.value,",employee,TRUST,keep canonical trust role,M,open
BE-0152,be,backend/app/auth/trust_roles.py:40,"""docs_officer"": TrustRole.employee.value,",employee,TRUST,keep canonical trust role,M,open
BE-0153,be,backend/app/auth/trust_roles.py:41,"""viewer"": TrustRole.viewer.value,",viewer,TRUST,keep canonical trust role,M,open
BE-0154,be,backend/app/auth/trust_roles.py:42,"""user"": TrustRole.viewer.value,",viewer,TRUST,keep canonical trust role,M,open
BE-0155,be,backend/app/auth/trust_roles.py:43,"""client_manager"": TrustRole.viewer.value,",viewer,TRUST,keep canonical trust role,M,open
BE-0156,be,backend/app/auth/trust_roles.py:44,"""client_processor"": TrustRole.viewer.value,",viewer,TRUST,keep canonical trust role,M,open
BE-0157,be,backend/app/auth/trust_roles.py:45,"""client"": TrustRole.viewer.value,",viewer,TRUST,keep canonical trust role,M,open
BE-0158,be,backend/app/auth/trust_roles.py:46,"""processor"": TrustRole.viewer.value,",viewer,TRUST,keep canonical trust role,M,open
BE-0159,be,backend/app/auth/trust_roles.py:92,return TrustRole.viewer.value,viewer,TRUST,keep canonical trust role,M,open
BE-0160,be,backend/app/auth/trust_roles.py:93,"return TRUST_ROLE_NORMALIZE.get(raw, TrustRole.viewer.value)",viewer,TRUST,keep canonical trust role,M,open
BE-0161,be,backend/app/auth/trust_roles.py:160,if r not in MATRIX_EDITABLE_BY_TENANT_ADMIN and normalize_trust_role(r) == TrustRole.administrator.value:,administrator,TRUST,keep canonical trust role,M,open
BE-0162,be,backend/app/auth/trust_roles.py:168,out.add(TrustRole.employee.value),employee,TRUST,keep canonical trust role,M,open
BE-0163,be,backend/app/auth/deps.py,require_roles(*allowed: object),,JOB_PROXY,employee + permission/module gate + preset,M,open
BE-0164,be,backend/app/auth/deps.py:43,"""admin"": Role.administrator.value,",administrator,TRUST,keep canonical trust role,M,open
BE-0165,be,backend/app/auth/deps.py:44,"""owner"": Role.administrator.value,",administrator,TRUST,keep canonical trust role,M,open
BE-0166,be,backend/app/auth/deps.py:45,"""employee"": Role.employee.value,",employee,TRUST,keep canonical trust role,M,open
BE-0167,be,backend/app/auth/deps.py:46,"""manager"": Role.supervisor.value,",supervisor,JOB_PROXY,employee + permission/module gate + preset,M,open
BE-0168,be,backend/app/auth/deps.py:47,"""supervisor"": Role.supervisor.value,",supervisor,JOB_PROXY,employee + permission/module gate + preset,M,open
BE-0169,be,backend/app/auth/deps.py:48,"""recruiter"": Role.recruiter.value,",recruiter,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0170,be,backend/app/auth/deps.py:49,"""hr"": Role.recruiter.value,",recruiter,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0171,be,backend/app/auth/deps.py:50,"""user"": Role.viewer.value,",viewer,TRUST,keep canonical trust role,M,open
BE-0172,be,backend/app/auth/deps.py:51,"""viewer"": Role.viewer.value,",viewer,TRUST,keep canonical trust role,M,open
BE-0173,be,backend/app/auth/deps.py:52,"""client"": Role.client_manager.value,",client_manager,PORTAL_LEGACY,viewer + access_context=portal + scope,H,open
BE-0174,be,backend/app/auth/deps.py:53,"""client_manager"": Role.client_manager.value,",client_manager,PORTAL_LEGACY,viewer + access_context=portal + scope,H,open
BE-0175,be,backend/app/auth/deps.py:54,"""client_processor"": Role.client_processor.value,",client_processor,PORTAL_LEGACY,viewer + access_context=portal + scope,H,open
BE-0176,be,backend/app/auth/deps.py:55,"""processor"": Role.client_processor.value,",client_processor,PORTAL_LEGACY,viewer + access_context=portal + scope,H,open
BE-0177,be,backend/app/auth/deps.py:56,"""compliance_officer"": Role.compliance_officer.value,",compliance_officer,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0178,be,backend/app/auth/deps.py:57,"""compliance"": Role.compliance_officer.value,",compliance_officer,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0179,be,backend/app/auth/deps.py:58,"""docs_officer"": Role.compliance_officer.value,",compliance_officer,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0180,be,backend/app/auth/deps.py:59,"""hr_officer"": Role.hr_officer.value,",hr_officer,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0181,be,backend/app/auth/deps.py:60,"""people_ops"": Role.hr_officer.value,",hr_officer,JOB_PROXY,employee + permission/module gate + preset,H,open
BE-0182,be,backend/app/auth/deps.py:61,"""superadmin"": Role.superadmin.value,",superadmin,TRUST,keep canonical trust role,M,open
BE-0183,be,backend/app/auth/deps.py:91,role = (raw_role or Role.viewer.value).strip().lower(),viewer,TRUST,keep canonical trust role,M,open
BE-0184,be,backend/app/auth/deps.py:93,"role = ROLE_ALIASES.get(role, Role.viewer.value)",viewer,TRUST,keep canonical trust role,M,open
BE-0185,be,backend/app/auth/deps.py:257,"if ur in {Role.superadmin.value, Role.administrator.value}:",superadmin,TRUST,keep canonical trust role,M,open
BE-0186,be,backend/app/auth/deps.py:257,"if ur in {Role.superadmin.value, Role.administrator.value}:",administrator,TRUST,keep canonical trust role,M,open
BE-0187,be,backend/app/auth/deps.py:270,if u.role != Role.superadmin.value:,superadmin,TRUST,keep canonical trust role,M,open
BE-0188,be,backend/app/auth/fleet_access.py:17,"Role.superadmin.value,",superadmin,TRUST,keep canonical trust role,M,open
BE-0189,be,backend/app/auth/fleet_access.py:18,"Role.administrator.value,",administrator,TRUST,keep canonical trust role,M,open
