kind	code	source	tenant_module	enabled	required_as_found	storage_path	consumers	legacy_usage	notes
field	eu_routes	candidate_profile.config.field_configs	platform_seed	true	optional	column|extra|personal_data	backend/app/seed_candidate_profiles.py	driver_ce_default_seed	
field	experience_eu_years	candidate_profile.config.field_configs	platform_seed	true	optional	column|extra|personal_data	backend/app/seed_candidate_profiles.py	driver_ce_default_seed	
field	experience_non_eu_years	candidate_profile.config.field_configs	platform_seed	true	optional	column|extra|personal_data	backend/app/seed_candidate_profiles.py	driver_ce_default_seed	
field	first_name	candidate_profile.config.field_configs	platform_seed	true	optional	column|extra|personal_data	backend/app/seed_candidate_profiles.py	driver_ce_default_seed	
field	frigo_experience	candidate_profile.config.field_configs	platform_seed	true	optional	column|extra|personal_data	backend/app/seed_candidate_profiles.py	driver_ce_default_seed	
field	has_adr	candidate_profile.config.field_configs	platform_seed	true	optional	column|extra|personal_data	backend/app/seed_candidate_profiles.py	driver_ce_default_seed	
field	intl_experience	candidate_profile.config.field_configs	platform_seed	true	optional	column|extra|personal_data	backend/app/seed_candidate_profiles.py	driver_ce_default_seed	
field	languages	candidate_profile.config.field_configs	platform_seed	true	optional	column|extra|personal_data	backend/app/seed_candidate_profiles.py	driver_ce_default_seed	
field	last_name	candidate_profile.config.field_configs	platform_seed	true	optional	column|extra|personal_data	backend/app/seed_candidate_profiles.py	driver_ce_default_seed	
field	launchSearchIntakeFields	frontend.launchSearchIntakeFields	recruitment	true	intake_required_levels	hardcoded	hostflow-frontend/src/utils/launchSearchIntakeFields.ts	frontend_hardcode	screening_as_required_observed
field	phone	candidate_profile.config.field_configs	platform_seed	true	optional	column|extra|personal_data	backend/app/seed_candidate_profiles.py	driver_ce_default_seed	
field	platform.identity.address	entity_profile.manifest	recruitment	true	intake=optional;card_save=required;transition=required	entity_profile_membership	backend/app/entity_profile/manifests/recruitment.py;backend/app/requirement_rules/registry.py	mapped_entity_profile	transition_level_required
field	platform.identity.birth_date	entity_profile.manifest	recruitment	true	intake=optional;card_save=optional;transition=optional	entity_profile_membership	backend/app/entity_profile/manifests/recruitment.py;backend/app/requirement_rules/registry.py	mapped_entity_profile	
field	platform.identity.citizenship	entity_profile.manifest	recruitment	true	intake=optional;card_save=required;transition=optional	entity_profile_membership	backend/app/entity_profile/manifests/recruitment.py;backend/app/requirement_rules/registry.py	mapped_entity_profile	
field	poland_stay_basis	candidate_profile.config.field_configs	platform_seed	true	optional	column|extra|personal_data	backend/app/seed_candidate_profiles.py	driver_ce_default_seed	
field	preferred_contact	candidate_profile.config.field_configs	platform_seed	true	optional	column|extra|personal_data	backend/app/seed_candidate_profiles.py	driver_ce_default_seed	
field	recruitment.candidate.agreements.employer_share	field_registry.manifest	recruitment	true	n/a	json_path:extra.agreements.employer_share	backend/app/field_registry/manifests/recruitment.py	canonical_registry	
field	recruitment.candidate.agreements.general	field_registry.manifest	recruitment	true	n/a	json_path:extra.agreements.general	backend/app/field_registry/manifests/recruitment.py	canonical_registry	
field	recruitment.candidate.agreements.terms_acceptance	field_registry.manifest	recruitment	true	n/a	json_path:extra.agreements.terms_acceptance	backend/app/field_registry/manifests/recruitment.py	canonical_registry	
field	recruitment.candidate.contacts.email	entity_profile.manifest	recruitment	true	intake=optional;card_save=optional;transition=optional	entity_profile_membership	backend/app/entity_profile/manifests/recruitment.py;backend/app/requirement_rules/registry.py	mapped_entity_profile	
field	recruitment.candidate.contacts.email	field_registry.manifest	recruitment	true	n/a	column:email	backend/app/field_registry/manifests/recruitment.py	canonical_registry	
field	recruitment.candidate.contacts.phone	entity_profile.manifest	recruitment	true	intake=required;card_save=required;transition=optional	entity_profile_membership	backend/app/entity_profile/manifests/recruitment.py;backend/app/requirement_rules/registry.py	mapped_entity_profile	
field	recruitment.candidate.contacts.phone	field_registry.manifest	recruitment	true	n/a	column:phone	backend/app/field_registry/manifests/recruitment.py	canonical_registry	
field	recruitment.candidate.contacts.phone_country_code	field_registry.manifest	recruitment	true	n/a	column:phone_country_code	backend/app/field_registry/manifests/recruitment.py	canonical_registry	
field	recruitment.candidate.contacts.preferred_messenger	field_registry.manifest	recruitment	true	n/a	json_path:contacts.preferred_messenger	backend/app/field_registry/manifests/recruitment.py	canonical_registry	
field	recruitment.candidate.employments[]	field_registry.manifest	recruitment	true	n/a	json_path:extra.employments	backend/app/field_registry/manifests/recruitment.py	canonical_registry	
field	recruitment.candidate.experience.intl_experience	field_registry.manifest	recruitment	true	n/a	json_path:extra.experience.intl_experience	backend/app/field_registry/manifests/recruitment.py	canonical_registry	
field	recruitment.candidate.experience.route_types[]	entity_profile.manifest	recruitment	true	intake=optional;card_save=optional;transition=optional	entity_profile_membership	backend/app/entity_profile/manifests/recruitment.py;backend/app/requirement_rules/registry.py	mapped_entity_profile	
field	recruitment.candidate.experience.route_types[]	field_registry.manifest	recruitment	true	n/a	json_path:extra.experience.route_types	backend/app/field_registry/manifests/recruitment.py	canonical_registry	
field	recruitment.candidate.experience.trailer_types[]	entity_profile.manifest	recruitment	true	intake=optional;card_save=optional;transition=optional	entity_profile_membership	backend/app/entity_profile/manifests/recruitment.py;backend/app/requirement_rules/registry.py	mapped_entity_profile	
field	recruitment.candidate.experience.trailer_types[]	field_registry.manifest	recruitment	true	n/a	json_path:extra.experience.trailer_types	backend/app/field_registry/manifests/recruitment.py	canonical_registry	
field	recruitment.candidate.experience.years_ce	entity_profile.manifest	recruitment	true	intake=optional;card_save=required;transition=optional	entity_profile_membership	backend/app/entity_profile/manifests/recruitment.py;backend/app/requirement_rules/registry.py	mapped_entity_profile	screening_as_required_observed
field	recruitment.candidate.experience.years_ce	field_registry.manifest	recruitment	true	n/a	json_path:extra.experience.years_ce	backend/app/field_registry/manifests/recruitment.py	canonical_registry	
field	recruitment.candidate.first_name	entity_profile.manifest	recruitment	true	intake=required;card_save=required;transition=optional	entity_profile_membership	backend/app/entity_profile/manifests/recruitment.py;backend/app/requirement_rules/registry.py	mapped_entity_profile	
field	recruitment.candidate.first_name	field_registry.manifest	recruitment	true	n/a	column:first_name	backend/app/field_registry/manifests/recruitment.py	canonical_registry	
field	recruitment.candidate.last_name	entity_profile.manifest	recruitment	true	intake=required;card_save=required;transition=optional	entity_profile_membership	backend/app/entity_profile/manifests/recruitment.py;backend/app/requirement_rules/registry.py	mapped_entity_profile	
field	recruitment.candidate.last_name	field_registry.manifest	recruitment	true	n/a	column:last_name	backend/app/field_registry/manifests/recruitment.py	canonical_registry	
field	recruitment.candidate.operations.stage	field_registry.manifest	recruitment	true	n/a	column:stage	backend/app/field_registry/manifests/recruitment.py	canonical_registry	
field	recruitment.candidate.personal.current_location	field_registry.manifest	recruitment	true	n/a	json_path:personal_data.current_location	backend/app/field_registry/manifests/recruitment.py	canonical_registry	
field	recruitment.candidate.personal.in_poland	entity_profile.manifest	recruitment	true	intake=optional;card_save=optional;transition=optional	entity_profile_membership	backend/app/entity_profile/manifests/recruitment.py;backend/app/requirement_rules/registry.py	mapped_entity_profile	
field	recruitment.candidate.personal.in_poland	field_registry.manifest	recruitment	true	n/a	json_path:personal_data.in_poland	backend/app/field_registry/manifests/recruitment.py	canonical_registry	
field	recruitment.candidate.personal.residency_status	field_registry.manifest	recruitment	true	n/a	json_path:personal_data.residency_status	backend/app/field_registry/manifests/recruitment.py	canonical_registry	
field	route_types	candidate_profile.config.field_configs	platform_seed	true	optional	column|extra|personal_data	backend/app/seed_candidate_profiles.py	driver_ce_default_seed	
field	trailer_types	candidate_profile.config.field_configs	platform_seed	true	optional	column|extra|personal_data	backend/app/seed_candidate_profiles.py	driver_ce_default_seed	
field	validateRequiredFields	frontend.profileUtils	recruitment	true	save_time_required_map	hardcoded	hostflow-frontend/src/utils/profileUtils.ts;hostflow-frontend/src/pages/CandidateCard.tsx	frontend_hardcode	screening_as_required_observed
ui_hole	contact	field_registry.legacy_aliases	recruitment	true	n/a	recruitment.candidate.agreements.employer_share	backend/app/field_registry/manifests/recruitment.py	registry_alias_not_in_seed_field_configs	observe_only
ui_hole	employer_share	field_registry.legacy_aliases	recruitment	true	n/a	recruitment.candidate.agreements.employer_share	backend/app/field_registry/manifests/recruitment.py	registry_alias_not_in_seed_field_configs	observe_only
ui_hole	employments	field_registry.legacy_aliases	recruitment	true	n/a	recruitment.candidate.employments[]	backend/app/field_registry/manifests/recruitment.py	registry_alias_not_in_seed_field_configs	observe_only
ui_hole	general	field_registry.legacy_aliases	recruitment	true	n/a	recruitment.candidate.agreements.general	backend/app/field_registry/manifests/recruitment.py	registry_alias_not_in_seed_field_configs	observe_only
ui_hole	in_poland	field_registry.legacy_aliases	recruitment	true	n/a	recruitment.candidate.personal.in_poland	backend/app/field_registry/manifests/recruitment.py	registry_alias_not_in_seed_field_configs	observe_only
ui_hole	phone_country_code	field_registry.legacy_aliases	recruitment	true	n/a	recruitment.candidate.contacts.phone_country_code	backend/app/field_registry/manifests/recruitment.py	registry_alias_not_in_seed_field_configs	observe_only
ui_hole	preferred_messenger	field_registry.legacy_aliases	recruitment	true	n/a	recruitment.candidate.contacts.preferred_messenger	backend/app/field_registry/manifests/recruitment.py	registry_alias_not_in_seed_field_configs	observe_only
ui_hole	privacy	field_registry.legacy_aliases	recruitment	true	n/a	recruitment.candidate.agreements.general	backend/app/field_registry/manifests/recruitment.py	registry_alias_not_in_seed_field_configs	observe_only
ui_hole	residency_status	field_registry.legacy_aliases	recruitment	true	n/a	recruitment.candidate.personal.residency_status	backend/app/field_registry/manifests/recruitment.py	registry_alias_not_in_seed_field_configs	observe_only
ui_hole	stage	field_registry.legacy_aliases	recruitment	true	n/a	recruitment.candidate.operations.stage	backend/app/field_registry/manifests/recruitment.py	registry_alias_not_in_seed_field_configs	observe_only
ui_hole	terms_acceptance	field_registry.legacy_aliases	recruitment	true	n/a	recruitment.candidate.agreements.terms_acceptance	backend/app/field_registry/manifests/recruitment.py	registry_alias_not_in_seed_field_configs	observe_only
ui_hole	years_ce	field_registry.legacy_aliases	recruitment	true	n/a	recruitment.candidate.experience.years_ce	backend/app/field_registry/manifests/recruitment.py	registry_alias_not_in_seed_field_configs	observe_only
